country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cape Verde,,,,,,,,,,,,,,,,,,,,,674,718,725,778,791,844,855,878,918,954,942,933,1010,1070,1240,1380,1500,1620,1790,1950,2180,2190,2260,2310,2510,2640,2810,3200,3380,3300,3310,3410,3400,3390,3370,3360,3450,3540
Central African Republic,602,621,587,573,573,567,560,574,569,597,599,594,583,583,608,597,616,625,617,587,546,522,545,486,517,523,530,493,491,490,469,455,414,404,413,431,404,416,426,431,412,422,428,398,414,410,422,434,436,438,446,458,476,300,303,315,326,335
Chad,696,692,715,690,660,651,627,621,607,636,634,606,599,536,549,586,591,593,579,446,411,406,418,472,470,557,519,491,549,557,517,544,569,464,495,485,479,489,505,484,463,497,519,573,738,835,812,811,809,816,897,868,914,935,967,963,875,823
Chile,3810,3920,3990,4130,4140,4090,4450,4510,4580,4660,4660,5000,4860,4540,4570,3910,4000,4350,4620,4930,5240,5500,4820,4510,4620,4730,4900,5130,5410,5850,5950,6310,6900,7250,7500,8050,8480,8990,9250,9100,9470,9670,9850,10100,10800,11200,11800,12300,12600,12300,12900,13500,14100,14600,14700,14900,15000,15100
China,192,141,132,142,164,187,202,185,173,197,228,238,241,254,254,272,263,279,308,327,348,361,388,424,481,539,578,635,696,714,731,788,889,1000,1120,1230,1340,1440,1540,1650,1770,1910,2070,2260,2470,2740,3070,3490,3810,4140,4560,4970,5340,5720,6110,6500,6890,7330
Colombia,2210,2260,2310,2310,2390,2390,2440,2470,2560,2650,2760,2850,3000,3130,3240,3240,3320,3380,3580,3690,3750,3750,3700,3680,3720,3750,3890,4010,4090,4150,4320,4340,4470,4500,4680,4840,4860,4950,4900,4630,4760,4770,4830,4950,5140,5310,5600,5910,6050,6080,6250,6590,6790,7050,7290,7450,7530,7600
Comoros,,,,,,,,,,,,,,,,,,,,,873,879,908,926,938,933,923,911,908,854,871,800,844,844,777,783,752,761,751,746,806,805,804,802,798,801,803,790,775,771,769,770,774,783,780,769,768,770
"Congo, Dem. Rep.",1040,903,1070,1090,1040,1020,1060,1020,1030,1100,1070,1100,1070,1130,1130,1050,965,945,869,849,845,843,818,810,834,816,832,832,812,777,702,620,533,444,411,401,386,356,342,320,290,276,276,283,293,301,307,315,324,323,334,345,358,375,398,411,408,409
"Congo, Rep.",1430,1510,1550,1450,1460,1470,1450,1440,1510,1580,1630,1700,1800,1880,1970,2060,2020,1790,1840,1970,2250,2570,3080,3170,3290,3160,2860,2790,2760,2760,2710,2700,2700,2600,2390,2420,2450,2370,2390,2260,2360,2390,2430,2380,2400,2500,2570,2450,2500,2600,2740,2750,2780,2810,2920,2930,2770,2580
Costa Rica,2860,2730,2850,2880,2900,3080,3210,3290,3460,3550,3710,3860,4070,4270,4400,4380,4510,4780,4950,5060,4970,4730,4260,4270,4420,4350,4480,4670,4730,4850,4910,4910,5230,5460,5560,5650,5590,5760,6020,6130,6230,6330,6430,6610,6790,6950,7350,7840,8100,7910,8200,8450,8750,8850,9070,9300,9580,9790
Cote d'Ivoire,1210,1280,1240,1370,1550,1440,1550,1560,1690,1780,1890,1980,1970,1990,1980,2040,2200,2260,2390,2340,1990,1980,1900,1750,1630,1640,1630,1570,1530,1520,1450,1400,1350,1300,1270,1310,1370,1380,1410,1400,1340,1310,1260,1220,1220,1220,1210,1210,1210,1220,1220,1140,1230,1310,1380,1470,1550,1630
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8480,9320,9770,10100,9900,10600,10900,11500,12100,12600,13100,13800,14500,14800,13700,13500,13900,13700,13600,13700,14100,14600,15200
Cuba,,,,,,,,,,,2250,2400,2470,2510,2500,2700,2820,3030,3210,3220,3050,3630,3940,4130,4440,4480,4450,4300,4410,4390,4230,3750,3290,2780,2790,2840,3050,3120,3110,3290,3470,3570,3610,3740,3950,4390,4910,5260,5480,5550,5680,5820,5990,6130,6180,6440,,
Cyprus,,,,,,,,,,,,,,,,7620,9240,10700,11500,12600,13200,13300,13900,14600,15600,16200,16600,17600,18900,20100,21200,20800,22100,21700,22600,24000,24000,24200,25200,26100,27300,28000,28600,29000,29900,30600,31400,32200,32700,31200,30800,30100,28800,27100,27000,27700,28400,29400
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000,12400,12300,12300,12700,13500,14000,14000,13900,14200,14800,15300,15600,16100,16900,18000,19200,20200,20500,19400,19800,20100,19900,19800,20300,21400,21900,22800
Denmark,21100,22300,23300,23300,25300,26200,26700,27400,28300,30000,30500,31200,32300,33400,32900,32300,34100,34700,35300,36600,36400,36100,37500,38500,40100,41700,43700,43800,43700,44000,44600,45100,45800,45700,47900,49100,50300,51700,52600,54000,55900,56100,56200,56300,57600,58800,60900,61200,60500,57200,58000,58600,58500,58800,59400,60000,60700,61600
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,2520,2780,2250,2560,2860,2990,3090,3280,3350,3620,3920,4300,4310,4560,4590,4680,4740,4800,4900,5040,5140,5440,5500,5540,5570,5460,5860,6020,5990,6150,6530,6980,6890,6910,6870,6770,6690,6950,6740,6880,6560
Dominican Republic,1330,1250,1420,1460,1510,1280,1410,1410,1380,1480,1700,1830,1970,2170,2240,2290,2390,2440,2440,2490,2630,2680,2660,2720,2700,2580,2620,2830,2830,2890,2680,2660,2900,3050,3070,3190,3330,3560,3740,3900,4020,4050,4170,4050,4090,4410,4750,5030,5120,5100,5450,5550,5630,5830,6200,6560,6920,7150
Ecuador,2240,2220,2250,2270,2380,2420,2340,2380,2360,2390,2490,2570,2620,2900,3140,3390,3550,3510,3610,3650,3690,3800,3720,3620,3620,3670,3710,3610,3730,3680,3720,3790,3780,3770,3840,3850,3830,3920,3970,3710,3680,3760,3850,3890,4140,4290,4400,4420,4620,4570,4660,4940,5140,5310,5430,5350,5190,5270
Egypt,631,641,667,708,745,763,751,737,738,769,792,801,799,787,789,841,942,1040,1070,1110,1190,1210,1290,1350,1400,1450,1450,1440,1480,1510,1560,1540,1570,1590,1620,1660,1710,1770,1810,1890,1950,1980,1990,2020,2060,2110,2220,2330,2460,2520,2600,2590,2590,2590,2610,2670,2730,2790
El Salvador,,,,,,2370,2470,2530,2540,2560,2570,2600,2690,2750,2830,2850,2930,3060,3160,2970,2570,2270,2090,2100,2100,2080,2060,2080,2090,2090,2160,2160,2280,2380,2460,2550,2540,2590,2640,2680,2690,2690,2720,2750,2760,2820,2930,2970,3020,2940,2990,3090,3160,3220,3270,3330,3400,3460
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,646,646,613,595,559,595,554,558,555,533,508,487,635,682,769,872,1400,3360,4000,4830,5480,8600,9870,10800,14300,15900,16400,18100,20300,19700,17100,17500,18100,16600,16000,14000,12300,11500
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,432,526,540,585,622,621,606,572,603,601,566,556,554,536,532,471,481,482,514,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7310,7820,8840,9290,9190,10100,10800,11500,12500,13300,14700,16300,17600,16700,14300,14600,15800,16500,16900,17500,17700,18100,19000
Ethiopia,,,,,,,,,,,,,,,,,,,,,,228,224,235,221,190,202,223,217,209,207,186,164,179,178,183,199,199,187,191,197,207,204,194,214,233,251,272,294,311,341,370,391,421,453,487,511,550
Fiji,1770,1770,1780,1830,1850,1750,1710,1890,1990,2000,2210,2310,2430,2660,2670,2640,2660,2760,2760,3040,2930,3040,2780,2610,2760,2590,2770,2570,2590,2780,2930,2820,2960,2980,3090,3120,3240,3130,3140,3390,3320,3370,3470,3500,3680,3690,3730,3670,3670,3580,3650,3720,3740,3890,4080,4210,4200,4320
Finland,12200,13000,13300,13700,14300,15000,15300,15600,15800,17400,18400,18800,20100,21400,22000,22300,22300,22300,22900,24400,25700,25900,26500,27200,27900,28800,29500,30400,31900,33400,33500,31400,30100,29800,30800,32000,33100,35000,36800,38400,40500,41400,42000,42700,44300,45400,47000,49200,49400,45100,46200,47200,46300,45700,45200,45200,46000,47100
France,13000,13500,14200,14800,15500,16100,16800,17400,18000,19100,20100,21000,21700,22900,23700,23300,24100,24900,25800,26600,26900,27100,27600,27800,28100,28400,28900,29500,30700,31800,32500,32900,33200,32900,33500,34100,34400,35100,36200,37300,38500,38900,39100,39100,39900,40300,40900,41600,41500,40100,40600,41300,41200,41200,41400,41600,42000,42600
Gabon,4380,4970,5290,5540,5710,6080,6240,6360,6380,6750,7190,7770,8490,9190,12600,14700,19500,16700,12400,12100,12100,12400,11800,12100,12700,12000,11600,9370,10300,10900,11100,11500,10800,11000,11100,11300,11500,11800,11900,10600,10100,10100,9820,9790,9600,9580,9040,9300,8720,8450,8750,9060,9210,9410,9510,9600,9550,9440
Gambia,,,,,,,422,414,444,444,459,446,434,459,471,513,535,538,556,533,548,547,524,559,556,528,525,513,511,518,515,513,514,514,501,492,489,498,501,518,530,544,510,528,547,525,514,516,528,545,562,522,534,542,530,536,532,534
Georgia,,,,,,1790,1900,2000,2070,2150,2380,2410,2460,2590,2800,2980,3140,3340,3560,3800,3940,4110,4160,4300,4490,4680,4260,4270,4470,4140,3520,2760,1510,1060,959,1010,1150,1300,1350,1400,1440,1520,1610,1810,1940,2160,2390,2720,2820,2750,2960,3220,3470,3630,3850,3970,4080,4290
Germany,,,,,,,,,,,19600,20200,21000,21900,22100,22000,23200,24000,24700,25800,26100,26200,26100,26600,27400,28100,28700,29100,30100,31000,32300,33700,34100,33600,34300,34800,35000,35600,36300,37000,38000,38600,38500,38200,38700,39000,40500,41800,42400,40100,41800,44100,44300,44400,45000,45400,45900,46700
Ghana,1050,1060,1060,1080,1070,1060,990,1000,983,1020,1090,1120,1060,1060,1100,945,894,899,960,918,901,845,761,702,736,749,765,779,801,819,824,843,852,869,874,886,904,920,940,958,969,983,1000,1030,1060,1090,1130,1150,1220,1250,1310,1460,1560,1630,1660,1680,1710,1810
Greece,6780,7480,7550,8280,8930,9720,10200,10700,11400,12400,13400,14400,15700,16900,15800,16600,17500,17800,18800,19200,19100,18700,18400,18000,18300,18700,18700,18300,19000,19600,19400,19700,19700,19300,19600,19900,20400,21200,21900,22500,23300,24100,25000,26300,27600,27700,29200,30100,29900,28500,26900,24500,22800,22300,22600,22600,22700,23000
Grenada,,,,,,,,,,,,,,,,,,2950,3140,3340,3300,3300,3340,3360,3390,3540,3780,4160,4340,4560,4770,4830,4750,4610,4630,4690,4870,5100,5690,6070,6360,6220,6410,7000,6940,7840,7500,7940,7980,7430,7370,7390,7280,7420,7930,8410,8680,8960
Guatemala,1460,1480,1490,1580,1610,1630,1670,1690,1790,1820,1870,1920,2010,2080,2160,2150,2250,2360,2420,2470,2500,2460,2310,2200,2150,2090,2040,2070,2100,2130,2150,2170,2230,2260,2300,2360,2370,2420,2480,2520,2550,2550,2590,2590,2610,2640,2720,2830,2850,2810,2830,2880,2900,2950,3010,3070,3100,3120
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,564,566,583,583,581,565,551,546,539,540,546,560,569,581,585,595,615,611,613,619,614,642,654,632,648,669,693,705,714,724,780,823
Guinea-Bissau,,,,,,,,,,,488,460,479,475,489,520,542,502,566,575,478,555,566,533,567,575,557,560,572,593,614,630,622,620,625,639,700,732,518,514,532,533,518,510,512,522,523,527,531,536,547,576,552,555,546,565,585,605
Guyana,1680,1710,1680,1430,1560,1680,1740,1780,1770,1870,1930,1960,1880,1880,2000,2150,2160,2080,2020,1970,1990,2020,1750,1640,1560,1610,1610,1640,1590,1520,1480,1570,1680,1810,1950,2040,2200,2340,2300,2380,2350,2410,2440,2410,2490,2450,2580,2760,2820,2930,3040,3190,3340,3490,3600,3680,3780,3870
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757,764,766,773,767,746,733,724,687,689,693,705,700,711,662,689,699,718,729,728,729,729
Honduras,1100,1090,1120,1120,1150,1220,1250,1290,1330,1300,1310,1320,1360,1420,1360,1350,1450,1550,1650,1680,1640,1630,1560,1500,1510,1530,1500,1540,1570,1590,1540,1550,1590,1640,1580,1590,1610,1640,1650,1570,1620,1620,1640,1670,1740,1800,1870,1950,1990,1900,1930,1970,2010,2030,2060,2100,2140,2210
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8850,8580,8540,8810,8950,8970,9290,9700,10000,10500,10900,11400,11900,12500,13100,13600,13700,13900,13000,13100,13300,13200,13500,14100,14600,15000,15600
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31300,32600,34500,35400,36600,37500,37400,38000,40700,42600,43700,46600,46500,43400,41900,42500,42900,44300,44800,46200,49000,49900
India,304,309,312,324,341,325,318,336,340,355,365,363,353,356,352,375,373,391,404,374,390,404,408,428,434,447,458,466,500,519,536,531,549,564,590,622,657,671,699,747,762,785,802,850,903,971,1040,1130,1160,1240,1350,1420,1470,1550,1650,1760,1860,1960
Indonesia,690,711,705,671,676,665,666,657,709,737,772,804,839,883,927,949,989,1050,1090,1150,1230,1300,1300,1320,1380,1390,1440,1480,1540,1620,1710,1790,1880,1970,2080,2220,2360,2430,2080,2070,2140,2190,2260,2330,2420,2520,2620,2750,2880,2970,3110,3260,3420,3560,3690,3830,3970,4130
Iran,2980,3240,3430,3580,3810,4350,4710,5120,5720,6480,7010,7820,8710,9200,9520,9030,10300,9540,7940,6860,4790,4370,5330,5560,4860,4770,4120,3990,3640,3740,4150,4570,4630,4620,4490,4530,4680,4620,4640,4590,4780,4750,5030,5400,5570,5680,5900,6310,6260,6250,6530,6620,6050,5960,6160,6010,6730,6950
Iraq,,,,,,,,,1450,1450,1470,1490,1500,1520,1700,1860,2100,2080,2360,2760,3350,3230,3250,2750,2640,2620,2680,2860,2800,2650,4080,1430,1840,2330,2350,2320,2500,2940,3840,4380,4310,4290,3880,2530,3790,3860,4140,4100,4330,4350,4500,4700,5180,5390,5250,5340,5750,5550
Ireland,,,,,,,,,,,12400,12700,13300,13700,14100,14600,14600,15600,16500,16800,17100,17500,17700,17500,18200,18700,18600,19500,20600,21900,23700,24000,24700,25200,26600,29000,31000,33800,36300,39700,42900,44700,46700,47400,49700,51500,52900,54100,50900,48100,48700,49900,49700,50300,54100,67200,69900,74400
Israel,8750,9410,9880,10500,10900,11500,11200,11100,12600,13900,14500,14800,16100,16400,16900,17100,16700,16500,17100,17700,17600,18100,18200,18400,18400,18800,19300,20300,20500,20300,21100,21400,22300,22600,23700,24600,25200,25500,26000,26200,27600,27000,26500,26200,26900,27600,28500,29600,30000,29700,30600,31500,31500,32200,32700,33000,33700,34100
Italy,10900,11700,12300,12900,13200,13500,14200,15100,16000,16900,17700,17900,18400,19600,20600,20000,21300,21800,22400,23700,24500,24600,24700,25000,25800,26500,27300,28100,29300,30300,30800,31300,31500,31200,31900,32800,33200,33800,34400,34900,36200,36800,36800,36700,37100,37200,37900,38200,37600,35400,35800,36000,34900,33900,33600,34000,34300,34900
Jamaica,,,,,,,3790,3810,3980,4140,4580,4620,5370,4990,4710,4620,4260,4100,4050,3950,3670,3710,3720,3730,3620,3470,3500,3740,3870,4120,4270,4440,4480,4860,4880,4950,4890,4790,4640,4640,4640,4670,4730,4870,4910,4930,5040,5080,5020,4770,4680,4740,4690,4700,4710,4740,4790,4800
Japan,8610,9400,10100,10900,12000,12600,13800,15200,17100,18800,18700,19300,20700,22100,21500,21800,22500,23200,24200,25300,25900,26700,27400,28200,29300,30600,31500,32800,34900,36400,38100,39300,39500,39200,39400,40400,41500,41900,41300,41100,42200,42200,42200,42700,43700,44400,45000,45700,45200,42700,44500,44500,45300,46200,46500,47200,47700,48600
Jordan,,,,,,,,,,,,,,,,1660,2010,2090,2460,2610,3010,3040,3140,3070,3200,3180,3270,3240,3060,2530,2440,2360,2650,2620,2620,2680,2650,2670,2700,2740,2810,2910,3020,3080,3260,3420,3560,3690,3770,3790,3680,3580,3480,3400,3350,3300,3260,3240
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5890,5210,4940,4510,4000,3740,3810,3940,3930,4080,4490,5110,5610,6110,6650,7230,7920,8520,8700,8570,9070,9600,9920,10400,10600,10600,10600,10900
Kenya,538,481,511,538,547,540,599,599,626,653,601,709,801,818,820,798,785,828,852,883,898,897,876,855,838,842,870,890,912,923,930,913,877,853,850,861,871,851,855,851,833,841,823,824,843,869,900,936,912,917,967,999,1020,1050,1080,1110,1140,1170
Kiribati,,,,,,,,,,,2400,2310,2550,3040,4350,4520,3260,3070,3050,2660,2190,2090,2200,2160,2220,2030,1970,1740,1850,1740,1690,1660,1650,1650,1650,1630,1630,1630,1710,1660,1730,1680,1710,1710,1660,1700,1640,1640,1580,1550,1490,1470,1520,1580,1570,1700,1690,1710
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41500,41200,40100,38900,35800,35800,35100,35500,41200,44800,47800,49300,49600,48000,41900,38500,39700,39700,37900,36300,35100,35300,33500
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,931,944,1050,1060,1100,994,846,715,571,535,565,612,615,628,654,683,676,716,757,748,763,820,880,895,880,921,905,984,1000,1020,1040,1070
Lao,,,,,,,,,,,,,,,,,,,,,,,,,423,432,441,422,402,446,462,468,481,496,523,547,573,600,613,646,672,700,730,763,799,843,900,952,1010,1070,1140,1220,1300,1380,1470,1560,1640,1730
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5140,5320,5860,6300,6520,6930,7480,8100,8870,9720,10900,12300,13600,13300,11500,11300,12300,12900,13400,13800,14300,14700,15600
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5890,3380,4230,5740,5850,6090,6420,6700,6960,6750,6950,6820,6750,6750,6660,6540,6640,6610,6590,7160,7860,8500,8860,8450,8110,7750,7450,7190,7140,7200
